video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
S6p123T0Fbc,Marvel Rivals Vs. Overwatch - A Brutally Honest Comparison,673,81,97777,2913,764,CR0W,4910
2iTJB8qaeqM,"Overwatch Players Try Their Marvel Rivals ""CLONE"" For The First Time",3011,293,244748,6183,481,Salty Phish,806000
qZVVVT5S_uQ,Marvel Rivals vs Overwatch 2 | Direct Comparison,1059,323,56028,1556,369,Nick930,557000
CmwB_SmsEko,How Overwatch 2 Killed Marvel Rivals.,1068,225,93973,4001,889,BigCitrus,38700
iOBWdRz9Zl4,How Marvel Rivals Made the REAL Overwatch 2,733,279,1396360,71559,3323,CircleToonsHD,3640000
wW_-7jS7c2I,Overwatch 2 vs Marvel Rivals,1560,68,29441,1060,549,Samito,181000
fLZYfbMyvjA,Who to play in Marvel Rivals based on your Overwatch Main (DPS),466,389,354715,8769,590,MR Gilbee,13300
dQPBAMmumq0,Overwatch VS Marvel Rivals 👀 Ultimate Voice Lines,43,282,1704199,65962,2408,nikimii,260000
8opBW8R4A0E,WHY ARE MARVEL RIVALS PLAYERS FIGHTING WITH OVERWATCH? 😭💀,22,99,355592,13587,764,Khyomaru,99100
w0l8RSXiWr4,Every Hero In Marvel Rivals And Their Overwatch Counterpart,350,485,50533,1097,152,Zenmeister,12800
qK38MSO4TQI,"Marvel Rivals Players Try Their Overwatch ""CLONE"" For The First Time",3376,209,134703,4281,431,Salty Phish,806000
QkyJC4iAFmQ,What’s REALLY Happening to Hero Shooters? Rivals vs Overwatch,978,21,20933,793,569,Stylosa,746000
29wisngcSQw,Marvel Rivals vs Overwatch 2: 6 Months Later Comparison,862,200,56859,1792,744,Samito,181000
rnjlNLGxPoA,Marvel Rivals Vs Overwatch 2  - SIMILAR HEROES & ABILITIES,313,354,177493,2266,431,FrameRate Elite,13600
WauLFQcFNHE,OVERWATCH 2's Answer to MARVEL RIVALS #shorts,60,294,3159191,271825,6724,jacobweeby,2100000
yEepN1zr-tY,The Perfect Hero Shooter: Marvel Rivals Vs Overwatch [Blender Animation],83,334,266160,21765,1099,DevilArtemis,1130000
hX6wpj0Zfo0,Marvel Rivals vs Overwatch 2 🤔,67,360,1708305,132167,2903,Garett,712000
kXUqP_WDQJU,I made Marvel Rivals In Overwatch...,318,270,139443,5626,373,Javofo,38500
CEdTtdBb0vs,Marvel Rivals VS Overwatch 😳 Ultimate Voice Lines,42,241,1587750,42418,1327,nikimii,260000
AVEFd2i0NwE,"Why Marvel Rivals is Loved, But Overwatch is Hated",796,322,170157,7180,621,MewZe,249000
BGO2-Vw5w3c,Marvel Rivals VS Overwatch 🎤 Ultimate Voice Lines,44,303,1822551,81555,3526,nikimii,260000
YXWg-gAXqic,Marvel Rivals COPIED Overwatch AGAIN! pt 2 🤭,27,491,397107,16473,528,Bogur Two,120000
npBrU1liMmA,Every Hero In Marvel Rivals And Their Overwatch Counterpart,669,137,3785,97,16,Zenmeister,12800
WUSbJQ9rd8E,Necros Can’t See the Overwatch vs Rivals Argument #marvelrivals,31,170,696775,10443,1040,Click Rivals,17300
cx9vwwfDSJM,Marvel Rivals Player Tries Overwatch For The First Time,1001,119,47727,1944,341,PixelBug,569
FryvNkVwEYM,MARVEL RIVALS vs OVERWATCH 2 #shorts,58,494,2389658,190956,3122,jacobweeby,2100000
7gJoGTzYNhs,OVERWATCH 2 vs MARVEL RIVALS: Which Hero Should You Play?,936,364,254507,6328,549,KarQ Marvel Rivals,53700
HhtPRYZE_rY,MARVEL RIVALS vs OVERWATCH #shorts,60,328,2505121,245241,3813,jacobweeby,2100000
twIaxSaFZG0,Marvel Rivals vs Overwatch 2 #shorts,61,571,2083836,138109,4175,jacobweeby,2100000
I3INBVPwTM4,MARVEL RIVALS SWEAT tries OVERWATCH 2,484,289,19055,992,121,I'mTokyyo,2620
ZaDiJ0vSEx0,IS MARVEL RIVALS BETTER THAN OVERWATCH?,895,480,398272,10908,531,Joe Bart Games,1280000
NBYh-stt3eg,The Overwatch vs Marvel Rivals War has just started...,105,71,83103,3157,655,Bogur Two,120000
eXuxrQL4lqE,BLIZZARD Reacting to MARVEL RIVALS #shorts,60,362,3704318,338480,5435,jacobweeby,2100000
ZOaux02HiV4,"Overwatch, Gaslighting, and Marvel Rivals | A Deep Dive",2146,291,270072,8277,1451,Testing Triangles,11300
vIdgc6Ia7Gc,This game MIGHT be better than overwatch #marvelrivals #psylocke,48,364,7457310,625715,5097,Mugenszns,85300
X5pDUL046R0,Overwatch vs Marvel Rivals (Ultimate Voice Lines) #shorts,66,277,6798,171,41,LongChicken,199
rWlVnPVYw4o,MARVEL RIVALS AND OVERWATCH 2 TIED FOR PLAYER COUNTS!,17,98,433566,8226,352,KaySkay,16100
N1lDXGjWHZM,ПЛАГИАТ В ГЕРОЙСКИХ ШУТЕРАХ | Сравнение Overwatch 2 v.s Marvel Rivals,1010,158,17738,731,266,NUSKULL,30500
57wKYX2LLBQ,I Spent 7 Days on Marvel Rivals to Prove it's Better than Overwatch,2681,299,768876,22587,2208,kraandop,190000
CM5bjFtFVqg,MARVEL RIVALS sweat tries OVERWATCH 2,430,279,5031,294,65,I'mTokyyo,2620
88tCRwx5Qiw,OVERWATCH 2 COPIED MARVEL RIVALS!? #marvel #marvelrivals #marvelrivalsgameplay,29,292,190971,9592,580,Khyomaru,99100
